AUD,0.7102,DOLLAR,AUSTRALIA
BRL,5.0902,REAL,BRAZIL
CAD,1.3314,DOLLAR,CANADA
CNY,6.7899,YUAN,CHINA P.R.
DKK,6.8514,KRONE,DENMARK
EUR,1.0857,EURO,EMU MEMBERS
HKD,7.828,DOLLAR,HONG KONG
INR,81.54,RUPEE,INDIA
JPY,129.94,YEN,JAPAN
MYR,4.2405,RINGGIT,MALAYSIA
MXN,18.773,PESO,MEXICO
NZD,0.6483,DOLLAR,NEW ZEALAND
NOK,9.8923,KRONE,NORWAY
SGD,1.3129,DOLLAR,SINGAPORE
ZAR,17.185,RAND,SOUTH AFRICA
KRW,1231.53,WON,SOUTH KOREA
LKR,362.81,RUPEE,SRI LANKA
SEK,10.3183,KRONA,SWEDEN
CHF,0.9218,FRANC,SWITZERLAND
TWD,30.22,DOLLAR,TAIWAN
THB,32.8,BAHT,THAILAND
GBP,1.2379,POUND,UNITED KINGDOM
VEB,21.6728,BOLIVAR,VENEZUELA
NPR,0.0076,RUPEE,NEPAL
USD,1,DOLLAR,UNITED STATES
